lemmata,text
АБТЕКА́Р,"I, II (-и, -бо, -за) аптекарь"
АБТЕКА́РЛЪИ,"IV (-и́) работа (профессия, должность) аптекаря; абтекарлъи лийа работать аптекарем"
АБХÁЗ,"I, II (-ело́, -за́) абхазец; абхазка; дигъол абхазиело гьамагъес кагъат ботIкъи я получил письмо от друга абхазца"
АБХÁЗИЙЕС,абхазский; абхазийес мыц абхазский язык; абхазийес гьикIо абхазец; абхазийес гъиIне абхазка; абхазийес гьадам абхазцы
АБЫ́ДНУ,1. масд. от гл. абда́ 2. веяние (очищение); дубкьо абыднукьо до разилъи мне понравилось работа по току (букв. твое веяние)
АВАДÁН,"// АВАДА́НГО нареч. весело, жизнерадостно; авадан(го) гIумру бийа жить весело (жизнерадостно)"
АВАДÁНАБ,"(мн. -тIа) веселый; жизнерадостный; аваданай гъиIне веселая (жизнерадостная) женщина; аваданаб абахарба веселые (жизнерадостные) соседи; аваданав эхъва стать веселым (жизнерадостным); иду гьадам цIакъ аваданаб голи эти люди очень веселые (есть); ср.: аваданав, аваданай, аваданар; см. йоххидду"
АВАДÁНЛЪИ,"IV (-и́) веселье, жизнерадостность; милло аваданлъикьо до гъуIгъуI йагьи я радуюсь вашей жизнерадостностной жизни; арелъе аваданлъихъо! какое веселье!"
АВАЛ,1 III (-и́) начало; богу авал хорошее начало; авалкьач лихъа руку лечи надо было предупредить в начале же; авали иссе ахирдов (//ахирдогу) бечаллу (//беча голу) погов. по началу видно какой будет конец
АВАЛ,"2 III (-и́, -ба, -зá) 1) квартал (часть сельской общины; часть селения); ило авал наш квартал; илло авалкьа тука гоби в нашем квартале нет магазина; илло авалылI дагIба бечбу в нашем квартале не было ссор (несогласий) 2) дом; авалхъа соло йулIа обойти дом вокруг; см. уба́"
АВА́Л-АХИ́Р,III (-и́) начало-конец; авал-ахир гоби нет начала и конца; илъе хабарас дихъо авал-ахирич бохъбу я не понял начало-конец этого разговора
АВÁРА,"1 III (-á, -а́ба, -азá) препятствие, помеха; буIкъкъуI авара большие препятствия (помехи); авара бийа препятствовать; создать помеху; цIохутIа аварабан камидбу были небольшие препятствия (помехи); см. кварква́ла"
АВÁРА,"2 III (-á, -а́ба, -азá) авария; авара бийа совершить аварию; ило аваралъыл букки мы попали в аварию"
АВАРÁГ,"I (-и́, -ба, -за́) рел. пророк; ило авараг наш пророк; аварагзала заманакьа во времена пророков; МухIаммад авараг (с.гI.с) пророк Мухаммад"
АВАРÁГЛЪИ,IV (-и́) выполнение миссии пророчества; гьечIчIе жогьо аварглъи (с.гI.с.) МухIаммади лӣ последний раз миссию пророчества выполнил пророк Мухаммад
АВАРИСТА́Н,"III (-и́) страна (земля) аварцев, Аваристан; Аваристанкьа кутакав гьикIо гоби во всем Аваристане (на земле аварцев) не было такого сильного (великого, могучего) человека"
АВГУ́СТ,III (-и́) август; август буцу месяц август; августкьо лай нēкъ в августе поспевает черника
АВЕТIУ́Н,// АВЕТIУНУ́Ч нареч. так; ср.: авна // авнач (хварш.)
АВЛАЛА́КА,"межд. слава Аллаху (Богу) (со знач. «как хорошо, что не так») (хварш.); дило ужагьа йу кад йухбийокьо до авлалакан бӯна голъе я радуюсь тому, что та девушка отказала моему сыну (слава Богу, что брак не состоялся!); авлалака, илул кумак ботIкъи! Слава Богу, к нам подоспела помощь!"
АВТАМА́Т,"III (-и́, -бо, -за) в разн. знач. автомат"
АВТАСТА́НЦИ,"III (-и́, -и́бо, -иза́) автостанция"
АГАЧIУ́Б,"(мн. -тIа) 1) никудышный, недоделанный; некрасивый; агачIур гьимон некрасивые вещи 2) некрасивый (о человеке); илъелъ агачIув ужен голи с ней один некрасивый парень тоже есть 3) ненужный, лишний; агачIур шог старая (вышедшая из строя) ненужная кастрюля; гьос агачIуй ишкап йотIтIокIа привезти один ненужный шкаф; ср.: агачIув, агачIуй, агачIур"
АГЪА́З,"III (-и́) забота; хлопоты; беспокойство; внимание; агъаз гобусо беззаботный; агъаз гобусо къаIм беззаботное племя; агъаз гобусо гьадам беспечные люди; агъаз бийа заботиться, беспокоиться, уделять (обратить) внимание"
АГЪАЗЫ́ТТУ,"не имеющий забот (хлопот); беззаботный; агъазытту гьадам люди, не имеющие забот (хлопот); беззаботные люди"
АГЪУ́ДА,"IV (-а́, -ба, -за́) пот (хварш.); агъуда мекьа потеть; см. инх. огъгъодо"
АГЬИ́!,"межд. Доброе утро! Здравствуй(-те)! (приветствие при обращении к мужчине) (букв. встали?); ср.: йагьи, багьи, лагьи; см. агь-йулIи"
А́ГЬИ,"III (-и́, -и́ба, -иза́) зоол. веретеница, медяница (хварш.); ср. инх. гIану бекол"
АГЬ-У́ЛIИ!,"межд. Доброе утро! Здравствуй(-те)! (приветствие при обращении мужчине); ср.: йагь-йулIи, багь-булIи, лагь-лулIи; см. агьи"
А́ГЬЛУ,"VI (-ý, -у́бо, -уза́) 1) люди; изу жидо агьлу голи это их люди (есть) 2) родня 3) семья; ило агьлу луIкъкъуI (//биже) голи а) наш тухум (род) большой (есть) б) наша семья большая (есть) 4) племя"
АДÁБ,"VI (-и́) вежливость; учтивость; воспитанность; приличие; уважение; адаб гобусо невежливый; нахальный; невоспитанный; адаб голлу вежливый; воспитанный; учтивый; адаб бийа уважать; почитать, проявить вежливость (учтивость, воспитанность); адаб гобуч беча бегьидоби нельзя быть невеждами; буIкъуIтIаза адаб бийа уважать старших; йу адабыс уже голи он воспитанный парень (есть); ужас гъиIне адабыс голи сноха уважает (проявляет знаки внимания, почитает); адабыч гобу бесцеремонно; йу адабыч гобу уни он (она) разговаривал(а) бесцеремонно; гьадийадхъал адаб цIино! берегите уважение друг к другу! уважайте друг друга!"
АД-АДГЪУ́Л,нареч. 1) впереди 2) раньше; в прежние времена; ад-адгъу­лун исе хIинкъибо илIлIе лечи он и раньше угрожал; хварш. ад-адгъол
АДÁКЬА,"нареч. наяву; воочию; малIа­гьал лечбу йу гьимон, адакьа лечи это было не во сне, я наяву; хварш. адакьо"
АДÁР,"V (-и́, -ба, -за́) 1) колотушка (используется при ткацких работах для уплотнения каждой сотканной полоски равномерными ударами) 2) квант. ткацкий станок"
АДГЪВÁ,"нареч. впереди; спереди; адгъва эIᴴху голи впереди река (есть); адгъва къала бохъхъа впереди держать детей; илъехъо адгъван бохъхъун къала бечи она впереди держала ребенка; адгъвайа херын бецIын, жогъайа бухадāй погов. букв. обнимая спереди, сзади (мышцы) режут ♦ адгъва л'ол'о гула запретить, помешать (букв. перед подножку ставить); хварш. адгъолижа"
АДГЪВÁГЪУЛ,нареч. вперед; ад­гъвагъул гыцIа́ смотреть вперед; ило адгъвагъул мелIлIе бечи мы шли вперед ♦ адгъулун (//ад-адгъулун) бӣн вести под контролем (букв. перёд себя гоняя); хварш. адгъогъол
АДГЪВÁСА,"передний, впереди находящийся; адгъваса аᴴхъба передние дома; адгъваса гор йекIвли упало переднее колесо (машины)"
АДГЪВАХЪÁ,в знач. нареч. на той стороне речки; напротив; адгъвахъа ачитIтIос гъон голи напротив (на той стороне речки) растёт сосновый бор
АДГЪОВХЪУ́́ЛЪ,нареч. в предыдущий день; адгъовхъулъ йу дил гьунема ысын эчи в предыдущий день я встретил его на дороге; хварш. адгъохъулъ
АДГЪУ́Л,1. нареч. 1) перед 2) раньше 2. послелог перед; дило адгъул передо мной; квант. атгъул; хонох. адгъол; см. гьечIчIāгъул
АДГЪУ́ЛУЧ,нареч. 1. давно; де адгъулуч лезын лечи писук я давно покупала сахар 2) заранее; де абахар адгъулуч гокьун йечи бериннокьол я соседку заранее пригласила на свадьбу; хварш. адгъолеч
АДГЪУ́ЛСО,первый; передний; адгъулсо аᴴхъ первый (передний) дом; квант. атгъулсо
АДГЪУЛСŌЧ,"1. 1) старый; адгъулсōч аᴴлI старое (старинное) селение; адгъулсōч гьамагъе старый друг; адгъулсōч тушманлъи старая вражда 2) старинный; адгъулсōч тIуIхъ старинный нож 3) давний, давнишний; адгъулсōч дагIба давнишний спор 2. нареч. с давних пор; квант. атгъулсōч"
АДИ́́Л':,адил' зама́на старое время; давнишнее время; адил' заманакьасач жогьол с давних времен
АДИЙÁЛ,"IV (-и́, -ба, -за́) одеяло (летнее нестеганое); лыхху адийал теплое одеяло; адийал кьолол кула укрываться одеялом"
АДРИ́С,"III (-и́, -бо, -зá) адрес; местонахождение; аᴴхъыс адрис домашний адрес; адрис хъвайа написать адрес; дили исо адрис биIйоIкъби я не знаю его адреса"
АДЫГÉЙ,"I, II (-е́ло, -зо́) адыг, адыгейка"
АДЫГИЙÉС,адыгейский; адыгийес мыц адыгейский язык; адыгийес гьикIо адыг; адыгийес гъиIне адыгейка; адыгийес гьадам адыгейцы
АЖА́Н,"V (-и́, -а́ба, -зá) бот. куча (растущей травы, цветов); кусты; бохос ажан йехъун выросла куча травы; цIицIимос ажан голи кучка цветов имеется (растет); цIицIимоло ажанакьа порбо голи на кучке цветов пчелы собирают нектар; мичала ажанакьа мич бехъв, тIотIалакьа – тIотIу йēхъв погов. на кустике крапивы растёт крапива, на кустике татарника растёт татарник"
АЖНАЗА́,этн. акнадинцы (жители сел. Акнада Цумадинского района Респуб­лики Дагестан; входят в состав тин­динской субэтнической группы);
АЖНА́ЙЕС,акнадинский; ажнайес мыц акнадинский говор (букв. язык) тиндинского языка
АЗА-АЗА́Р,числ. 1) тысячами; голлуч ос аза-азарлас бечи все купюры были тысячными 2) тысяча (для усиление благодарности за помощь); исул аза-азар баркала голи дийо уже экIхвалIа ему тысячи благодарностей за спасение моего сына
АЗАЛАЙА́,"(азала́ше, азалайи́, азалайи́н, азалайāй, а́залайа) 1) мерзнуть, замерзнуть; замерзать; лъоᴴ азалагу голи вода очень холодная (есть); ило азалаше мы мерзнем 2) окоченеть; лыкьаба азалайин руки окоченели 3) похолодать, ударить мороз; гьуIнзакьа азалайин в горах холодно; квант. азаладжа́, хварш. азайла"
АЗАЛА́НУ,"1. масд. от гл. алазайа́ 2. 1) замерзание; дунийал азалану замерзание земли 2) окоченение; лыкьаба азалану окоченение рук 3) холод, мороз"
АЗАЛАХКIА́,"(азалахы́кIше, азалахкIи́, азалахкIы́н, азалахкIāй, а́залахкIа) понуд. 1) подморозить, заморозить 2) окоченеть"
АЗАЛАХЫ́КIНУ,понуд. масд. от гл. азалахкIа́
АЗА́Н,"1 V (-и́, -áба, -азá) чурбан (предназначенный для рубки дров, мяса, для измельчивания сена скоту); бох тIотIдогу (//тIотIтIов) азан чурбан для измельчивания сена (травы); азанакьа лилI тIотIа рубить мясо на чурбане; лыдо азанакьа гула поставить полено на чурбан"
АЗА́Н,"2 III (-и́, -бо, -за́) рел. азан (призыв муэдзина в мечети к обязательной молитве, намазу); азан ахIида читать (произнести) азан; ср. как ахIида"
АЗА́Л,числ. тысяча; къуIне азал две тысячи; азарлалъ бакькьи один из тысячи; азарлалъ бакькьи гьостIа логун лыссе находим один хороший среди тысячи; дихъо къуIне азал гъуруш голи у меня две тысячи рублей (есть); хварш. азар
АЗАРИ́ЛIЛIУ,числ. поряд. тысячный; азарилIлIу гьеᴴше тысячная книга
АЗАРКIА́IКIАI,"IV (-á, -áба, -азá) зоол. сороконожка; баIкьаIхъайа азаркIаIкIаI лохъолIи из-за угла появилась сороконожка"
АЗАРЛУ́Х,"числ. кратн. тысячу раз; до азарлух йотIкъи миллогьол я много раз приходила к вам (букв. я тысячу раз была у вас); де дубхъол азарлух илIи, гьицо гьомону гIамаллIун я тебе тысячу раз сказал, чтобы ты оставил эту привычку"
АЗАРЫ́́Н,числ. тысяча (первая часть составного числительного); азарын бешон тысяча сто; азарын оᴴчIчIебешон тысяча девятьсот; азарын бешонын оᴴцIон къуIне тысяча сто двенадцать; азарын гьос бичалIлIи тысячи одна голов овец; азарын очIчIебешонын гьачIвацIан оᴴчIчIе тысяча девятьсот девяносто девять
АЗБА́Р,"III (-и́, -ба, -зá) 1) двор дома 2) большой дом; хоромы; дийо буIкъкъуI азбар голи у меня большой дом (есть)"
АЗДА́ГЬУ,"III (-уа́, -у́бо, -азá) 1) миф. дракон 2) зоол. крокодил; ралъадылъийа аздагьу бохъолIи из моря показался крокодил 3) зоол. большая змея 4) перен. злой человек ♦ аздагьус шелу крепкий, сильный человек (букв. рог крокодила); аздагьус локIо голлу грубый, жестокий человек (букв. крокодила сердце имеющий); дубо аздагьус локIо голи у тебя злое сердце (букв. крокодиловое) (есть)"
АЗИЛА́ХЪ,"V (-и́, -ба, -за́) громадина, что-л. громадное (огромное); азилахъцев аᴴхъ большой (огромный) дом"
АЗИРБИЖА́Н,"I, II (-ело́, -за́) азербайджанец, азербайджанка; дилъ армилъ азирбижанза бечи со мной в армии служили азербайджанцы"
АЗИРБИЖА́НИЙЕС,азербайджанский; азирбижанийес мыц азербайджанский язык; азирбижанийес гьикIо азербайджанец; азирбижанийес гъиIне азербайджанка; азирбижанийес гьадам азербайджанцы; дило гōхъ азирбажаниес кечIибо я люблю азербайджанские песни
А́ЗКЪА,IV (-á) иней; гъонозакьа азкъа чIихъин деревья покрылись инеем
АЗРАГЬУ́́Н,"(-и́) в знач. что-л. большое (огромное, громадное, могучее); азрагьунцев гьикIо мужчина, могучий как нарт; мужчина-великан"
АЗЫ́́КНУ,IV (-у́) сбор урожая; уборка (злаков); дубло азыкнукьо биргадир рокъи бригадир доволен вашей уборкой урожая; ср.: хварш. анчану
АЙ,"межд. нет! не та! не то! (выражает несогласие или отрицание); дубгъол гьеᴴше бохъи? – ай ты получила книгу? – нет; см. ā, айи"
АЙГЪИ́Р,"III (-и́, -бо, -зá) зоол. скакун; богу айгъир хороший скакун; айгъиркьон кьотIкъун эᴴкьа ехать верхом на скакуне"
АЙИ́,"межд. нет; не так, не то (выражает несогласие или отрицание); мо йелIлIе конкурскьол? – айи ты едешь на конкурс? – нет; см. ā, ай"
АЙЛЪА́Л,союз если (хварш.); см. инх. -лъо
АЙЛЪИЛIИБО,"нареч. в этом году (хонох.); см. желIибо (хонох.), йелIибо (инх.)"
АЙРУПÁЛАН,"III (-и́, -ба, -зá) уст. аэроплан; самолет; йехъулъ айрупаланба эттве сегодня самолеты летают; см. самалот"
АКБА́Р,"III (-и́, -ба, -за́) рел. 1) такбир (произносят во время азана, намаза) 2) молитва (произносимая при жертвоприношении на курбан-байрам); дибири акбар ахIиди мулла (имам) произнес акбар (букв. Аллах велик)"
АКЕЛА́,"(аке́л'ше, акели́, акелы́н, акелōй, а́кело) 1) устать, уставать; утомиться; до акели я устал(-а); до эIхеIйиIн акели я устал от ходьбы; къала иᴴйайин акели дети от плача устали; илъе хъуйиз до акели я устала от шума 2) надоедать; до акели дубло хабараз я устал от твоих разговоров; мне надоели твои разговоры 3) перен. упасть (падать) без сознания; йу акелын эᴴкьи хабар чIалалIа он потерял сознание, когда услышал плохую весть; акелалIа молIун йогу йотIокъ погов. при усталости хорошо спится; хварш. акейлъа"
АКЕ́ЛЛУ,"прич. усталый, утомленный; акеллу гьикIо усталый (утомленный) человек; хварш. акойлIа"
АКЕЛ'НУ,1. масд. от гл. акела́ 2. 1) упадок сил; усталость; утомление 2) надоедание
АКИТIЕ́Л,"V (-и́, -бо, -за́) камень (пригодный для точения ножей); дили къуду акитIел йиси я нашел точильный камень"
АКТА́БЕР,III (-и́) октябрь (месяц)
АКУХА́,"(аку́хше, акухи́, акуху́н, акухōй, а́кухо) ворошить (переворачивать) молотьбу на токе; обуди л'ол'о акухи отец переворошили молотьбу на токе"
АКУ́ХНУ,масд. от гл. акуха́
АКЪЕ́МУ,"1. в знач. прил. непривычный, незнакомый; новый; акъему аᴴхъ непривычный (новый, незнакомый) дом 2. в знач. нареч. непривычно (в незнакомой обстановке); дил жидулъ акъему лечи мне с ними было непривычно (не уютно)"
А́КЪЛУ,"III (-у́, -у́бо, -уза́) 1) сознание; здравый смысл; ум, сознание; йу гьикIо акълукьо гоби он без сознания (есть) 2) ум; разум 3) рассудок; мудрость; интеллект 4) совет 5) воспитание 6) мнение; см. гIа́кълу"
АКЪРА́Б,"// ГIАКЪРА́Б III (-и́, -бо, -за́) зоол. скорпион; см. моIкъоIруIкъеIле"
АКЪЛУЙА́Б,"(мн. -тIа) умный, разумный; мудрый, рассудительный; ср.: акълуйав, акълуйай, акълуйар; см. гIакълуйаб"
АКЬАЛПIА́Й,II (-и́) миф. атлалпай (сказочный персонаж женского пола); акьалпIай йотIкъун пришла (появилась) атлалпай
АКI,"V (-а́, -ба, -за́) 1) тесто; лагьа акI гула поставить тесто набухать; акI лагьын тесто набухло 2) крошки хлеба; акIба лишокIа крошить хлеба; акIба къувокъа топтать крошки; см. рекьакIван"
АКIЕ́Й,"нареч. 1. маленький 2. мало, немного (хварш); акIейтIа гитIа лить по каплями; акIей букъу немного; см. дагьаб, цIохху (инх.)"
АКIКIЫ́Н,"нареч. ничуть, нисколько; отнюдь; до акIкIын гъуIгъуI агьбу я ничуть (нисколько) не обрадовался; до дубкьо акIкIын рази гоби я тобой ничуть не доволен (не довольна); хварш. акIкIин"
АКI-МУКI,"IV (-и́) остатки (хлебных кусков); крошки, крупинки; акI-мукI гъолол тылIа кормить животных остатками хлеба"
А́КIЦЕВ,// А́КЦЕВ крошечный; малюсенький; акIцев къала крошечный ребенок; акцев гьимон нуше боха чтобы обидеться хватает крошечное дело; хварш. акIеци
А́ЛА,"1 IV (-а́, -а́ба, -аза́) бот. ветвь, сук, ветка; гъонос ала ветка дерева; лыхала ала длинная ветка; къотIула ала ветка с развилькой; алахъа лоха повесить на ветке; гъонос ала лыцын ветка дерева сломалась ♦ къеIмлъис ала ветвь родства"
А́ЛА,"2 IV (-а́, -а́ба, -аза́) приток реки; хоIллуI ала широкий приток реки; эᴴхус ала лухун идегъагъул приток реки свернул в эту сторону"
А́ЛА,"3 IV (-а́, -а́ба, -аза́) одеяло (сотканное на станке); гьекI заманакьа алаба лише лечи в старину ткали одеяла; ала кьолол кула накрыться (укрыться) сотканным одеялом"
АЛА́,"(а́лше, али́, алы́н, āл, а́ла) 1) соединить, соединять; присоединить; гьадийадхъал ала соединить друг к другом; рачIчIи ала соединить веревку 2) клеить, приклеить; кагъатба ала приклеить бумаги 3) пришить 4) перен. соединить, обновить родственные связи; къеIнлъи ала соединить родство; см. ал-цIатIа́"
АЛАЗА́ХУ,1) ветвистый; алазаху гъон ветвистое дерево 2) сучковатый; алазаху къоIтуI сучковатая доска; алазаху кIантIа а) ветвистая палка б) сучковатая палка; хварш. алазахе
АЛАЛА́Й,"межд. ой, ой-ой-ой (выражает физическую и моральную боль, тоску, отчаяние); алалай, дийо локIо! ой-ой-ой, мое сердце! алалай, къеIн лелIлIе! ой, голова болит!"
АЛА́Т,"III (-и́, -ба, -за́) инструмент; устарыс алатба инструменты плотника (мастера); алатыч гобу хъариса дуду акIва? как без инструмента править косу (с целью натачивания)?"
АЛА́Х,"III (-и́, -ба, -за́) 1) глушь; неосвоенная земля 2) пастбище; луг; гъоло алахкьа голи скот пасется на лугу 3) степь ♦ алахкьа соро олълъу как скакун в степи (чувствовать привольно)"
АЛЖА́Н,VI (-и́) рел. рай; лъиле дандилъолIо! пожел. пусть встретятся в раю (о супругах)! алжан ишедло лоIлзаIлI посл. под ногами матери рай ♦ алжаныс кIыца райская птица; квант. гIалжан
АЛЖИ́РЗО,мн. алжирцы; хIежкьо алжирийелъ лъай-хъвай лехъви в хадже познакомился (-лась) с алжирцами
АЛЖИРИ́ЙЕС,алжирский; алжирийес гьикIо алжирец; алжирийес гъиIне алжирка; алжирийес гьадам алжирцы; алжирийес шикьу алжирская форма одежды; дилъ цIалишше алжирийес йечи со мной училась алжирка
АЛИ́Б,III (-и́) уст. алиф (первая буква арабского алфавита); алибкьоз байбихьида а) начнинать с алифа б) перен. начинать сначала
АЛИ́ЛА,"IV (-а́, -а́ба, -аза́) попона (под седло); кьекьеллолI алила гула положить (класть) под седло попону; см. кьекьел-алила"
АЛИ́ПА,IV (-а́) олифа; луIхъхъуI алипа густая олифа; аᴴцмахъа алипа леха покрывать (покрасить) двери олифой
А́ЛНУ,"1. масд. от гл. ала́ 2. 1) соединение, присоединение 2) приклеивание 3) перен. укрепление родственных связей"
АЛЛА́ГЬ,"I (-и́) рел. Аллах, Бог, Господь, Всевышний; Аллагь гьос голи Аллах един; Аллаисе хъвагохъоз бекIолби погов. от предопределения Всевышнего не спасёшься ♦ Аллагьу Акбар! а) Аллах Велик! б) выражения возмущенияАллагь иᴴкъатев богоотступник; Аллагь иᴴкъатев гьадами бокькьиду лийой богоотступник может совершить любое преступление; Аллаисе цIинолIо! Боже упаси! Аллаисе цIинолIо илъе халкъихъоз боже упаси от этого народа; Аллаисо цочкун! межд. клянусь Аллахом (именем Аллаха), ей-богу; см. Аллагь-БетIергьан, Бечед"
АЛЛА́ГЬ-БЕТIЕРГЬА́Н,"1. рел. I (-и́) Аллах, Бог, Господь, Всевышний 2. межд. Боже мой! (крик отчаяния и безысходности, обращение к Аллаху – Господу миров)"
АЛМА́С,"IV (-и́, -бо, -за́) 1) алмаз, стеклорез; алмасыз матIу бичIа порезать стекло стеклорезом 2) перен. сильный крепкий человек; йу алмас олълъу голи он крепкий как алмаз (есть) ♦ алмас йолълъу гъиIне женщина как алмаз"
АЛО́В,"III (-и́) дет. телефон, трубка; дигъол алов илIо дайте мне трубку"
АЛПАВИ́Т,"III (-и́, -бо, -за́) алфавит, азбука; гIурус алпавит алфавит русского языка; магIарул мыцас алпавит алфавит аварского языка; дил алфавит бикъше я знаю алфавит; см. алиб"
АЛУ́КIА,"1 IV (-а́, -а́ба, -аза́) 1) материал, полотно 2) белая ткань (на саван); тукакьал алукIа лотIкъун в магазин привезли полотно на саван; йуIкъуIчIе алукIа хIадур лӣ бабушка приготовила (себе) саван"
АЛУ́КIА,"2 (мн. -тIа) белый; белоснежный; алукIа кIази белый платок; алукIа коᴴде белые волосы; алукIа коде голлу белокурый; алукIа коде голлу кад белокурая девочка; алукIа коᴴдекьо хина гула покрасить белые волосы хной; алукIа лийа а) делать (сделать) белым б) белить, произвести побелку; иле аᴴхъ алукIа лӣ мы побелили комнату (дом); гъуIдуIл алукIа цIицIис лецIцIын поле сплошь засеяно белыми цветами; илул алукIа чIидо лыси мы обнаружили белую глину; эссо лолълъу алукIа (// эᴴссоцо алукIа) белоснежный, белый как снег ♦ алукIа кIимачI йийоби погов. не снесет белое яичко (о человеке, от которого не ожидают дельной помощи); алукIа кIимачI йийоби не ждёшь хорошего результата (букв. белое яйцо не снесёт); мо бувожбо, исе алукIа кIимачI йийоби ты не верь его усилиям, от него не ждешь ничего хорошего (букв. он белые яйца не снесет); алукIа бехъва а) стать (становиться белым); белеть б) побледнеть в) перен. показаться, приглянуться кому-л. (букв. стать белым, побелеть) в) показаться хорошим (букв. стать белым); алукIа чIидо а) белая глина б) известь; алукIа цIицIи а) ромашка кавказская б) белый цветок (любой); алукIа баква поверить, что человек изменился и стал лучше (букв. белым видеть); дили ужас гъиIне алукIа йехъви мне сноха показалась хорошей; иттонкын до исул алукIа йакбу никогда он во мне ничего хорошего не видел; дил мо алукIа йехъби для меня ты не приглянешься (не покажешься с хорошей стороны) (букв. ты мне белым не станешь)"
АЛУКIА-КА́IБАI,"(мн. -тIа) черно-белое, черное-белое (букв. белое-черное)"
АЛУКIА́ЛЪА́Р,"IV (-и́) 1) белизна; шикьулло алукIалъархъа! смотри, какая белизна одежды! 2) беловатость 3) чистота"
АЛУКIА́ХУ,беловатый; алукIаху эрешун беловатая ткань; алукIаху хъод беловая стена
АЛУКIДАХА́,"(алукIда́хше, алукIдахи́, алукIдахы́н, алукIдахāй, а́лукIдаха) стать белым, белеть, побелеть; ас алукIдахын небо побелело; лыкьаба алукIдахи руки побелели"
АЛУКIДА́ХНУ,"1. масд. от гл. алукIдаха 2. побеление, белизна"
